"","Index","Wortlaut"
"60","HGB § 11 ","§ 11Offenlegung in der Amtssprache eines Mitgliedstaats der Europäischen Union
"
"61","HGB § 11 (1)"," Die zum Handelsregister einzureichenden Dokumente sowie der Inhalt einer Eintragung können zusätzlich in jeder Amtssprache eines Mitgliedstaats der Europäischen Union übermittelt werden. Auf die Übersetzungen ist in geeigneter Weise hinzuweisen. § 9 ist entsprechend anwendbar."
"62","HGB § 11 (2)"," Im Fall der Abweichung der Originalfassung von einer eingereichten Übersetzung kann letztere einem Dritten nicht entgegengehalten werden; dieser kann sich jedoch auf die eingereichte Übersetzung berufen, es sei denn, der Eingetragene weist nach, dass dem Dritten die Originalfassung bekannt war."
"63","HGB § 12 ","§ 12Anmeldungen zur Eintragung und Einreichungen
"
"64","HGB § 12 (1)"," Anmeldungen zur Eintragung in das Handelsregister sind elektronisch in öffentlich beglaubigter Form einzureichen. Die öffentliche Beglaubigung mittels Videokommunikation gemäß § 40a des Beurkundungsgesetzes ist zulässig. Die gleiche Form ist für eine Vollmacht zur Anmeldung erforderlich. Anstelle der Vollmacht kann die Bescheinigung eines Notars nach § 21 Absatz 3 der Bundesnotarordnung eingereicht werden. Rechtsnachfolger eines Beteiligten haben die Rechtsnachfolge soweit tunlich durch öffentliche Urkunden nachzuweisen."
"65","HGB § 12 (2)"," Dokumente sind elektronisch in einem maschinenlesbaren und durchsuchbaren Datenformat einzureichen. Ist eine Urschrift oder eine einfache Abschrift einzureichen oder ist für das Dokument die Schriftform bestimmt, genügt die Übermittlung einer elektronischen Aufzeichnung; ist ein notariell beurkundetes Dokument oder eine öffentlich beglaubigte Abschrift einzureichen, so ist ein mit einem einfachen elektronischen Zeugnis (§ 39a des Beurkundungsgesetzes) versehenes Dokument zu übermitteln."
"66","HGB § 13 ","§ 13Zweigniederlassungen von Unternehmen mit Sitz im Inland
"
"67","HGB § 13 (1)"," Die Errichtung einer Zweigniederlassung ist von einem Einzelkaufmann oder einer juristischen Person beim Gericht der Hauptniederlassung, von einer Handelsgesellschaft beim Gericht des Sitzes der Gesellschaft, unter Angabe des Ortes und der inländischen Geschäftsanschrift der Zweigniederlassung und des Zusatzes, falls der Firma der Zweigniederlassung ein solcher beigefügt wird, zur Eintragung anzumelden. In gleicher Weise sind spätere Änderungen der die Zweigniederlassung betreffenden einzutragenden Tatsachen anzumelden."
"68","HGB § 13 (2)"," Das zuständige Gericht trägt die Zweigniederlassung auf dem Registerblatt der Hauptniederlassung oder des Sitzes unter Angabe des Ortes sowie der inländischen Geschäftsanschrift der Zweigniederlassung und des Zusatzes, falls der Firma der Zweigniederlassung ein solcher beigefügt ist, ein, es sei denn, die Zweigniederlassung ist offensichtlich nicht errichtet worden."
"69","HGB § 13 (3)"," Die Absätze 1 und 2 gelten entsprechend für die Aufhebung der Zweigniederlassung."
"70","HGB § 13a ","§ 13aEuropäische Zweigniederlassungen von Kapitalgesellschaften mit Sitz im Inland
"
"71","HGB § 13a (1)"," In Bezug auf Zweigniederlassungen, die dem Recht eines anderen Mitgliedstaates der Europäischen Union oder eines anderen Vertragsstaates des Abkommens über den Europäischen Wirtschaftsraum unterliegen und die von einer Kapitalgesellschaft mit Sitz im Inland errichtet wurden, gelten die folgenden Vorschriften."
"72","HGB § 13a (2)"," Die Landesjustizverwaltungen stellen sicher, dass die Daten der Zweigniederlassungen, die im Rahmen des Europäischen Systems der Registervernetzung gemäß § 9b empfangen werden, an dasjenige Registergericht weitergeleitet werden, das für die Gesellschaft zuständig ist."
"73","HGB § 13a (3)"," Das zuständige Registergericht bestätigt den Eingang der Daten über das Europäische System der Registervernetzung gemäß § 9b und trägt unverzüglich von Amts wegen die folgenden gemäß Absatz 2 erhaltenen Daten zu der Zweigniederlassung oder deren Änderung in das Registerblatt der Gesellschaft ein: 1.Errichtung, Aufhebung oder Löschung der Zweigniederlassung,2.Firma der Zweigniederlassung,3.Geschäftsanschrift der Zweigniederlassung einschließlich des Staates,4.Eintragungsnummer und einheitliche europäische Kennung der Zweigniederlassung."
"74","HGB NA ","§§ 13b u. 13c(weggefallen)"
"75","HGB § 13d ","§ 13dSitz oder Hauptniederlassung im Ausland
"
"76","HGB § 13d (1)"," Befindet sich die Hauptniederlassung eines Einzelkaufmanns oder einer juristischen Person oder der Sitz einer Handelsgesellschaft im Ausland, so haben alle eine inländische Zweigniederlassung betreffenden Anmeldungen, Einreichungen und Eintragungen bei dem Gericht zu erfolgen, in dessen Bezirk die Zweigniederlassung besteht."
"77","HGB § 13d (2)"," Die Eintragung der Errichtung der Zweigniederlassung hat auch den Ort und die inländische Geschäftsanschrift der Zweigniederlassung zu enthalten; ist der Firma der Zweigniederlassung ein Zusatz beigefügt, so ist auch dieser einzutragen."
"78","HGB § 13d (3)"," Im übrigen gelten für die Anmeldungen, Einreichungen, Eintragungen, Bekanntmachungen und Änderungen einzutragender Tatsachen, die die Zweigniederlassung eines Einzelkaufmanns, einer Handelsgesellschaft oder einer juristischen Person mit Ausnahme von Aktiengesellschaften, Kommanditgesellschaften auf Aktien und Gesellschaften mit beschränkter Haftung betreffen, die Vorschriften für Hauptniederlassungen oder Niederlassungen am Sitz der Gesellschaft sinngemäß, soweit nicht das ausländische Recht Abweichungen nötig macht.
"
"79","HGB § 13e ","§ 13eZweigniederlassungen von Kapitalgesellschaften mit Sitz im Ausland
"
"80","HGB § 13e (1)"," Für Zweigniederlassungen von Aktiengesellschaften und Gesellschaften mit beschränkter Haftung mit Sitz im Ausland gelten ergänzend zu § 13d die folgenden Vorschriften."
"81","HGB § 13e (2)"," Die Errichtung einer Zweigniederlassung einer Aktiengesellschaft ist durch den Vorstand, die Errichtung einer Zweigniederlassung einer Gesellschaft mit beschränkter Haftung ist durch die Geschäftsführer zur Eintragung in das Handelsregister anzumelden. Bei der Anmeldung ist das Bestehen der Gesellschaft als solcher nachzuweisen. Die Anmeldung hat auch eine inländische Geschäftsanschrift und den Gegenstand der Zweigniederlassung zu enthalten. Daneben kann eine Person, die für Willenserklärungen und Zustellungen an die Gesellschaft empfangsberechtigt ist, mit einer inländischen Anschrift zur Eintragung in das Handelsregister angemeldet werden; Dritten gegenüber gilt die Empfangsberechtigung als fortbestehend, bis sie im Handelsregister gelöscht und die Löschung bekannt gemacht worden ist, es sei denn, dass die fehlende Empfangsberechtigung dem Dritten bekannt war. In der Anmeldung sind ferner anzugeben 1.das Register, bei dem die Gesellschaft geführt wird, und die Nummer des Registereintrags, sofern das Recht des Staates, in dem die Gesellschaft ihren Sitz hat, eine Registereintragung vorsieht;2.die Rechtsform der Gesellschaft;3.die Personen, die befugt sind, als ständige Vertreter für die Tätigkeit der Zweigniederlassung die Gesellschaft gerichtlich und außergerichtlich zu vertreten, unter Angabe ihrer Befugnisse;4.wenn die Gesellschaft nicht dem Recht eines Mitgliedstaates der Europäischen Union oder eines anderen Vertragsstaates des Abkommens über den Europäischen Wirtschaftsraum unterliegt, das Recht des Staates, dem die Gesellschaft unterliegt."
"82","HGB § 13e (3)"," Die in Absatz 2 Satz 5 Nr. 3 genannten Personen haben jede Änderung dieser Personen oder der Vertretungsbefugnis einer dieser Personen zur Eintragung in das Handelsregister anzumelden. Wenn die Gesellschaft nicht dem Recht eines Mitgliedstaates der Europäischen Union oder eines anderen Vertragsstaates des Abkommens über den Europäischen Wirtschaftsraum unterliegt, gelten für die gesetzlichen Vertreter der Gesellschaft in Bezug auf die Zweigniederlassung § 76 Absatz 3 Satz 2 bis 4 des Aktiengesetzes sowie § 6 Absatz 2 Satz 2 bis 4 des Gesetzes betreffend die Gesellschaften mit beschränkter Haftung entsprechend."
"83","HGB § 13e (3a)"," An die in Absatz 2 Satz 5 Nr. 3 genannten Personen als Vertreter der Gesellschaft können unter der im Handelsregister eingetragenen inländischen Geschäftsanschrift der Zweigniederlassung Willenserklärungen abgegeben und Schriftstücke zugestellt werden. Unabhängig hiervon können die Abgabe und die Zustellung auch unter der eingetragenen Anschrift der empfangsberechtigten Person nach Absatz 2 Satz 4 erfolgen."
"84","HGB § 13e (4)"," Die in Absatz 2 Satz 5 Nr. 3 genannten Personen oder, wenn solche nicht angemeldet sind, die gesetzlichen Vertreter der Gesellschaft haben die Eröffnung oder die Ablehnung der Eröffnung eines Insolvenzverfahrens oder ähnlichen Verfahrens über das Vermögen der Gesellschaft zur Eintragung in das Handelsregister anzumelden."
"85","HGB § 13e (5)"," Errichtet eine Gesellschaft mehrere Zweigniederlassungen im Inland, so brauchen die Satzung oder der Gesellschaftsvertrag sowie deren Änderungen nach Wahl der Gesellschaft nur zum Handelsregister einer dieser Zweigniederlassungen eingereicht zu werden. In diesem Fall haben die nach Absatz 2 Satz 1 Anmeldepflichtigen zur Eintragung in den Handelsregistern der übrigen Zweigniederlassungen anzumelden, welches Register die Gesellschaft gewählt hat und unter welcher Nummer die Zweigniederlassung eingetragen ist."
"86","HGB § 13e (6)"," Die Landesjustizverwaltungen stellen sicher, dass die Daten einer Kapitalgesellschaft mit Sitz im Ausland, die im Rahmen des Europäischen Systems der Registervernetzung (§ 9b) empfangen werden, an das Registergericht weitergeleitet werden, das für eine inländische Zweigniederlassung dieser Gesellschaft zuständig ist."
"87","HGB § 13e (7)"," Das zuständige Registergericht bestätigt den Eingang der Daten über das Europäische System der Registervernetzung. Sofern zum Zeitpunkt des Dateneingangs bei dem Registergericht keine Anmeldung in Bezug auf die mitgeteilten Tatsachen vorliegt, fordert es die Gesellschaft zur unverzüglichen Anmeldung der geänderten Tatsachen auf.
"
"88","HGB § 13f ","§ 13fZweigniederlassungen von Aktiengesellschaften mit Sitz im Ausland
"
"89","HGB § 13f (1)"," Für Zweigniederlassungen von Aktiengesellschaften mit Sitz im Ausland gelten ergänzend die folgenden Vorschriften."
"90","HGB § 13f (2)"," Der Anmeldung ist die Satzung in öffentlich beglaubigter Abschrift und, sofern die Satzung nicht in deutscher Sprache erstellt ist, eine beglaubigte Übersetzung in deutscher Sprache beizufügen. Die Vorschriften des § 37 Abs. 2 und 3 des Aktiengesetzes finden Anwendung. § 37 Absatz 2 des Aktiengesetzes ist nicht anzuwenden auf Aktiengesellschaften, die dem Recht eines Mitgliedstaates der Europäischen Union oder eines anderen Vertragsstaates des Abkommens über den Europäischen Wirtschaftsraum unterliegen. Soweit nicht das ausländische Recht eine Abweichung nötig macht, sind in die Anmeldung die in § 23 Abs. 3 und 4 des Aktiengesetzes vorgesehenen Bestimmungen und Bestimmungen der Satzung über die Zusammensetzung des Vorstandes aufzunehmen; erfolgt die Anmeldung in den ersten zwei Jahren nach der Eintragung der Gesellschaft in das Handelsregister ihres Sitzes, sind auch die Angaben über Festsetzungen nach den §§ 26 und 27 des Aktiengesetzes und der Ausgabebetrag der Aktien sowie Name und Wohnort der Gründer aufzunehmen. Der Anmeldung ist die für den Sitz der Gesellschaft ergangene gerichtliche Bekanntmachung beizufügen."
"91","HGB § 13f (3)"," Die Eintragung der Errichtung der Zweigniederlassung hat auch die Angaben nach § 39 des Aktiengesetzes sowie die Angaben nach § 13e Abs. 2 Satz 3 bis 5 zu enthalten."
"92","HGB § 13f (4)"," Änderungen der Satzung der ausländischen Gesellschaft sind durch den Vorstand zur Eintragung in das Handelsregister anzumelden. Für die Anmeldung gelten die Vorschriften des § 181 Abs. 1 und 2 des Aktiengesetzes sinngemäß, soweit nicht das ausländische Recht Abweichungen nötig macht."
"93","HGB § 13f (5)"," Im übrigen gelten die Vorschriften der §§ 81, 263 Satz 1, § 266 Abs. 1 und 2, § 273 Abs. 1 Satz 1 des Aktiengesetzes sinngemäß, soweit nicht das ausländische Recht Abweichungen nötig macht. § 81 Absatz 3 des Aktiengesetzes ist nicht anzuwenden auf Aktiengesellschaften, die dem Recht eines Mitgliedstaates der Europäischen Union oder eines anderen Vertragsstaates des Abkommens über den Europäischen Wirtschaftsraum unterliegen."
"94","HGB § 13f (6)"," Für die Aufhebung einer Zweigniederlassung gelten die Vorschriften über ihre Errichtung sinngemäß."
"95","HGB § 13f (7)"," Die Vorschriften über Zweigniederlassungen von Aktiengesellschaften mit Sitz im Ausland gelten sinngemäß für Zweigniederlassungen von Kommanditgesellschaften auf Aktien mit Sitz im Ausland, soweit sich aus den Vorschriften der §§ 278 bis 290 des Aktiengesetzes oder aus dem Fehlen eines Vorstands nichts anderes ergibt.
"
"96","HGB § 13g ","§ 13gZweigniederlassungen von Gesellschaften mit beschränkter Haftung mit Sitz im Ausland
"
"97","HGB § 13g (1)"," Für Zweigniederlassungen von Gesellschaften mit beschränkter Haftung mit Sitz im Ausland gelten ergänzend die folgenden Vorschriften."
"98","HGB § 13g (2)"," Der Anmeldung ist der Gesellschaftsvertrag in öffentlich beglaubigter Abschrift und, sofern der Gesellschaftsvertrag nicht in deutscher Sprache erstellt ist, eine beglaubigte Übersetzung in deutscher Sprache beizufügen. Die Vorschriften des § 8 Abs. 1 Nr. 2 und Abs. 3 und 4 des Gesetzes betreffend die Gesellschaften mit beschränkter Haftung sind anzuwenden. § 8 Absatz 3 des Gesetzes betreffend die Gesellschaften mit beschränkter Haftung ist nicht anzuwenden auf Gesellschaften, die dem Recht eines Mitgliedstaates der Europäischen Union oder eines anderen Vertragsstaates des Abkommens über den Europäischen Wirtschaftsraum unterliegen. Wird die Errichtung der Zweigniederlassung in den ersten zwei Jahren nach der Eintragung der Gesellschaft in das Handelsregister ihres Sitzes angemeldet, so sind in die Anmeldung auch die nach § 5 Abs. 4 des Gesetzes betreffend die Gesellschaften mit beschränkter Haftung getroffenen Festsetzungen aufzunehmen, soweit nicht das ausländische Recht Abweichungen nötig macht."
"99","HGB § 13g (3)"," Die Eintragung der Errichtung der Zweigniederlassung hat auch die Angaben nach § 10 des Gesetzes betreffend die Gesellschaften mit beschränkter Haftung sowie die Angaben nach § 13e Abs. 2 Satz 3 bis 5 zu enthalten."
"100","HGB § 13g (4)"," Änderungen des Gesellschaftsvertrages der ausländischen Gesellschaft sind durch die Geschäftsführer zur Eintragung in das Handelsregister anzumelden. Für die Anmeldung gelten die Vorschriften des § 54 Abs. 1 und 2 des Gesetzes betreffend die Gesellschaften mit beschränkter Haftung sinngemäß, soweit nicht das ausländische Recht Abweichungen nötig macht."
"101","HGB § 13g (5)"," Im übrigen gelten die Vorschriften der §§ 39, 65 Abs. 1 Satz 1, § 67 Abs. 1 und 2, § 74 Abs. 1 Satz 1 des Gesetzes betreffend die Gesellschaften mit beschränkter Haftung sinngemäß, soweit nicht das ausländische Recht Abweichungen nötig macht. § 39 Absatz 3 des Gesetzes betreffend die Gesellschaften mit beschränkter Haftung ist nicht anzuwenden auf Gesellschaften, die dem Recht eines Mitgliedstaates der Europäischen Union oder eines anderen Vertragsstaates des Abkommens über den Europäischen Wirtschaftsraum unterliegen."
"102","HGB § 13g (6)"," Für die Aufhebung einer Zweigniederlassung gelten die Vorschriften über ihre Errichtung sinngemäß."
